,dash_doc_1.txt,dash_doc_10.txt,dash_doc_11.txt,dash_doc_12.txt,dash_doc_13.txt,dash_doc_14.txt,dash_doc_15.txt,dash_doc_16.txt,dash_doc_17.txt,dash_doc_18.txt,dash_doc_19.txt,dash_doc_2.txt,dash_doc_20.txt,dash_doc_21.txt,dash_doc_22.txt,doc_1.txt,doc_10.txt,doc_11.txt,doc_12.txt,doc_13.txt,doc_14.txt,doc_15.txt,doc_16.txt,doc_17.txt,doc_18.txt,doc_19.txt,doc_2.txt,doc_20.txt,doc_21.txt,doc_22.txt
dash_doc_1.txt,0.9999999999999999,0.0,0.0,0.01900400815025168,0.0,0.0,0.0,0.01200234485347797,0.0,0.0,0.0,0.0,0.0,0.025650465146681588,0.015685109141290704,0.3026040874113654,0.005259370875735614,0.035953527112568856,0.025611804649776908,0.045655581771658106,0.022335896945670994,0.022615362843118464,0.05008420955276435,0.0333785489086787,0.03562724671484717,0.020393533227151518,0.02633736839640201,0.058527763866084034,0.06615601477338968,0.04156337585255685
dash_doc_10.txt,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.027903521620197966,0.0,0.0,0.0,0.0,0.0,0.028315596050532556,0.0,0.0,0.006350706796431413,0.29979714672154323,0.0053707479162624005,0.03219575507673775,0.02075268640239177,0.0073601142803726835,0.026564752866744895,0.006027758794665592,0.014519867008958952,0.03255569764855988,0.024543888198280385,0.03086692662395972,0.014226070781563915,0.022605771054705088,0.01808839792128543
dash_doc_11.txt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.011988089573218308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02558896391046764,0.02716458777477087,0.4349712675100531,0.017503482299342534,0.036835975675216626,0.0032571742998217935,0.021407936339895146,0.04561563440154255,0.01372776435665836,0.04595367399712524,0.013535107397777829,0.03701961057313395,0.01980732588953139,0.0152494493453625,0.007727331617214374
dash_doc_12.txt,0.01900400815025168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01681731676282296,0.0,0.006024129050567401,0.2747883165448948,0.024963234292227836,0.0020489184044106597,0.01597579253522353,0.0063768322376329505,0.016466349993670942,0.024142080359125347,0.01779310044812557,0.012888021103833913,0.037855856929702815,0.021423196869948685,0.0
dash_doc_13.txt,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.042151028282007584,0.0,0.0,0.0,0.0,0.0,0.04883516123383585,0.027316689359186193,0.0,0.014751974739658495,0.012350499078462703,0.1232063272496845,0.006589922647366058,0.009146962546622688,0.00805753823623235,0.04100466150553353,0.020997996832989647,0.01029497845749536,0.019911036440415465,0.003275403311379927,0.035835394626843084,0.03790494319910341
dash_doc_14.txt,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21609544937374775,0.0,0.0,0.0,0.00568437521439322,0.008259197883499414,0.0,0.012773494297817092,0.006707692881372207,0.0
dash_doc_15.txt,0.0,0.027903521620197966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.018169676727799716,0.0,0.0,0.012444575519356765,0.0,0.01678213936165308,0.013610899486208049,0.009995536901529623,0.023948179588973797,0.03987798302231754,0.015337537134839173,0.23440923973369127,0.02873305210411699,0.011361063889219812,0.023960264518018626,0.02532666018479903,0.01931637541804732,0.045406525647574754,0.019988430759017576,0.01680628075502728
dash_doc_16.txt,0.01200234485347797,0.0,0.011988089573218308,0.0,0.0,0.0,0.0,1.0,0.0,0.06216367575267434,0.0,0.0,0.0,0.0,0.09054686218108021,0.02158260641562698,0.0,0.010565581415493998,0.03498656857673209,0.03461624305532224,0.013980216897331595,0.019594957502231107,0.23502277250675374,0.027238444165066822,0.030267938631083558,0.030668933934749502,0.04544668098530511,0.02921982940882966,0.0477766778136136,0.035584416813863824
dash_doc_17.txt,0.0,0.0,0.0,0.0,0.042151028282007584,0.0,0.0,0.0,1.0000000000000002,0.0,0.008542088179043889,0.0,0.0,0.0,0.0,0.04727794936235946,0.0,0.007835865512779549,0.020243847637372307,0.00948115730434254,0.009743600988640737,0.017491941552468606,0.017178518778675204,0.33331650470451324,0.03585760023717398,0.021403487611487054,0.029839276657692693,0.045707950299328406,0.0494776685229854,0.03926481993880582
dash_doc_18.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06216367575267434,0.0,1.0,0.026760714232812163,0.0,0.0,0.0,0.054797219360198705,0.016500804891405377,0.0,0.021612739371485223,0.019478505661991486,0.012442097127236556,0.015280405272198028,0.03949770575798205,0.00547713288874954,0.01840129462143198,0.05596886386247708,0.05275976481514017,0.01988727551348659,0.023197901627252833,0.020988846657788808,0.007170704103093583
dash_doc_19.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.018169676727799716,0.0,0.008542088179043889,0.026760714232812163,0.9999999999999999,0.0,0.0,0.025381454186427906,0.0,0.012401953232409913,0.0,0.002551205356596285,0.008686508367311394,0.009381047418977714,0.001893830030653578,0.01981605091954615,0.009082445057529004,0.008648006006735456,0.00939020104300444,0.23467855378329655,0.01437449244797505,0.039466297749277554,0.0031173537177191647,0.0031253859415159603
dash_doc_2.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011782068017459778,0.0,0.0,0.0,0.0,0.0,0.0,0.0450398005197405,0.0,0.0,0.0
dash_doc_20.txt,0.0,0.028315596050532556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02399162721710441,0.03115142821860186,0.02342760888760556,0.01729833854865218,0.01481543856137861,0.03683272357419735,0.023684615810227006,0.020229907348600563,0.03655092163223353,0.0217217058475508,0.04447130771069445,0.010397863196385266,0.029800297807850866,0.1344770031126626,0.017302938450835935,0.03604138441604679
dash_doc_21.txt,0.025650465146681588,0.0,0.0,0.0,0.0,0.0,0.012444575519356765,0.0,0.0,0.0,0.025381454186427906,0.0,0.0,1.0000000000000002,0.1278581515744488,0.09472738033951227,0.0186777337471193,0.004602444063045304,0.03085065528986419,0.08191099603021718,0.004696130644058447,0.02404005378597311,0.02459339006293099,0.046942449231084954,0.041564051937767695,0.03932674434505079,0.07354369032665248,0.025841090474068025,0.16194332740859943,0.12069004723234592
dash_doc_22.txt,0.015685109141290704,0.0,0.0,0.0,0.04883516123383585,0.0,0.0,0.09054686218108021,0.0,0.054797219360198705,0.0,0.0,0.02399162721710441,0.1278581515744488,1.0000000000000002,0.09232292628039061,0.0,0.008245995268235542,0.01177899222675851,0.07617190813785417,0.012925843995770899,0.02983735255267896,0.026654842320642674,0.03677035880298024,0.016894919529752788,0.009333908511246481,0.06822089980030371,0.01116859646835257,0.06458119884693339,0.2717760561930168
doc_1.txt,0.3026040874113654,0.006350706796431413,0.02558896391046764,0.01681731676282296,0.027316689359186193,0.0,0.01678213936165308,0.02158260641562698,0.04727794936235946,0.016500804891405377,0.012401953232409913,0.0,0.03115142821860186,0.09472738033951227,0.09232292628039061,1.0000000000000007,0.16359502127683054,0.22107095229277468,0.3008226873990485,0.35245721979314654,0.15803035386579078,0.19356420652882894,0.4035998166246738,0.32226839649098254,0.4087972012079879,0.32886782464522957,0.29516488771317606,0.1710385443754595,0.4185105219512751,0.3200272998514302
doc_10.txt,0.005259370875735614,0.29979714672154323,0.02716458777477087,0.0,0.0,0.0,0.013610899486208049,0.0,0.0,0.0,0.0,0.0,0.02342760888760556,0.0186777337471193,0.0,0.16359502127683054,1.0000000000000002,0.11117827515867378,0.18282238655777378,0.16149598911542892,0.09502439290820971,0.1310725489624502,0.18836224649315494,0.1189101098533216,0.18848847522966716,0.22680827477362658,0.1877215874856838,0.09857991359197243,0.2346459323121639,0.15610259380398017
doc_11.txt,0.035953527112568856,0.0053707479162624005,0.4349712675100531,0.006024129050567401,0.014751974739658495,0.0,0.009995536901529623,0.010565581415493998,0.007835865512779549,0.021612739371485223,0.002551205356596285,0.0,0.01729833854865218,0.004602444063045304,0.008245995268235542,0.22107095229277468,0.11117827515867378,1.0000000000000004,0.2504296247936609,0.13816712945504167,0.10216161588643685,0.11510136012352433,0.2915617668184224,0.16167532376549748,0.27564817703482075,0.22145811848266161,0.15658556902753343,0.14356453670813285,0.24446158111580343,0.15455940792728534
doc_12.txt,0.025611804649776908,0.03219575507673775,0.017503482299342534,0.2747883165448948,0.012350499078462703,0.0,0.023948179588973797,0.03498656857673209,0.020243847637372307,0.019478505661991486,0.008686508367311394,0.0,0.01481543856137861,0.03085065528986419,0.01177899222675851,0.3008226873990485,0.18282238655777378,0.2504296247936609,0.9999999999999984,0.2445662577197,0.15818054539145063,0.1809506134926417,0.37110756457834887,0.24902864067869512,0.3245344080018074,0.35473940226447115,0.21101561303052876,0.2535962382803417,0.39389446241090803,0.23831247942011463
doc_13.txt,0.045655581771658106,0.02075268640239177,0.036835975675216626,0.024963234292227836,0.1232063272496845,0.0,0.03987798302231754,0.03461624305532224,0.00948115730434254,0.012442097127236556,0.009381047418977714,0.011782068017459778,0.03683272357419735,0.08191099603021718,0.07617190813785417,0.35245721979314654,0.16149598911542892,0.13816712945504167,0.2445662577197,0.9999999999999996,0.17624219953824583,0.23559572686192257,0.30622778677098894,0.2486173761356393,0.30285723275368787,0.28052545432877585,0.4332015483569399,0.2335453884169306,0.41168475724275844,0.2949055243566878
doc_14.txt,0.022335896945670994,0.0073601142803726835,0.0032571742998217935,0.0020489184044106597,0.006589922647366058,0.21609544937374775,0.015337537134839173,0.013980216897331595,0.009743600988640737,0.015280405272198028,0.001893830030653578,0.0,0.023684615810227006,0.004696130644058447,0.012925843995770899,0.15803035386579078,0.09502439290820971,0.10216161588643685,0.15818054539145063,0.17624219953824583,1.0,0.1479707152396672,0.22242152913268812,0.17969904124329392,0.2325515893740264,0.1996349742728513,0.14860690058081452,0.1968139865370822,0.2019371372664462,0.13263438128742566
doc_15.txt,0.022615362843118464,0.026564752866744895,0.021407936339895146,0.01597579253522353,0.009146962546622688,0.0,0.23440923973369127,0.019594957502231107,0.017491941552468606,0.03949770575798205,0.01981605091954615,0.0,0.020229907348600563,0.02404005378597311,0.02983735255267896,0.19356420652882894,0.1310725489624502,0.11510136012352433,0.1809506134926417,0.23559572686192257,0.1479707152396672,1.0,0.24242765553693413,0.18502650084541414,0.24466001617383554,0.23671621532706985,0.3159870306455718,0.19191671357366158,0.2343432896160917,0.16196116906015018
doc_16.txt,0.05008420955276435,0.006027758794665592,0.04561563440154255,0.0063768322376329505,0.00805753823623235,0.0,0.02873305210411699,0.23502277250675374,0.017178518778675204,0.00547713288874954,0.009082445057529004,0.0,0.03655092163223353,0.02459339006293099,0.026654842320642674,0.4035998166246738,0.18836224649315494,0.2915617668184224,0.37110756457834887,0.30622778677098894,0.22242152913268812,0.24242765553693413,1.0,0.3495279245012705,0.46951518960571037,0.3841123846642368,0.3054455971754708,0.2621057162241439,0.5109395232214642,0.325619393033652
doc_17.txt,0.0333785489086787,0.014519867008958952,0.01372776435665836,0.016466349993670942,0.04100466150553353,0.0,0.011361063889219812,0.027238444165066822,0.33331650470451324,0.01840129462143198,0.008648006006735456,0.0,0.0217217058475508,0.046942449231084954,0.03677035880298024,0.32226839649098254,0.1189101098533216,0.16167532376549748,0.24902864067869512,0.2486173761356393,0.17969904124329392,0.18502650084541414,0.3495279245012705,1.0000000000000009,0.37806787195628777,0.3265798883197394,0.2374245004002849,0.20677673335714794,0.4013372480567622,0.2536850753487532
doc_18.txt,0.03562724671484717,0.03255569764855988,0.04595367399712524,0.024142080359125347,0.020997996832989647,0.00568437521439322,0.023960264518018626,0.030267938631083558,0.03585760023717398,0.05596886386247708,0.00939020104300444,0.0,0.04447130771069445,0.041564051937767695,0.016894919529752788,0.4087972012079879,0.18848847522966716,0.27564817703482075,0.3245344080018074,0.30285723275368787,0.2325515893740264,0.24466001617383554,0.46951518960571037,0.37806787195628777,0.9999999999999993,0.43036410342664977,0.2649047078513456,0.24808712760742638,0.46352472568592723,0.2953359083783882
doc_19.txt,0.020393533227151518,0.024543888198280385,0.013535107397777829,0.01779310044812557,0.01029497845749536,0.008259197883499414,0.02532666018479903,0.030668933934749502,0.021403487611487054,0.05275976481514017,0.23467855378329655,0.0,0.010397863196385266,0.03932674434505079,0.009333908511246481,0.32886782464522957,0.22680827477362658,0.22145811848266161,0.35473940226447115,0.28052545432877585,0.1996349742728513,0.23671621532706985,0.3841123846642368,0.3265798883197394,0.43036410342664977,0.999999999999999,0.2937856836909335,0.24970708286246185,0.4374251727588323,0.2660858111232391
doc_2.txt,0.02633736839640201,0.03086692662395972,0.03701961057313395,0.012888021103833913,0.019911036440415465,0.0,0.01931637541804732,0.04544668098530511,0.029839276657692693,0.01988727551348659,0.01437449244797505,0.0450398005197405,0.029800297807850866,0.07354369032665248,0.06822089980030371,0.29516488771317606,0.1877215874856838,0.15658556902753343,0.21101561303052876,0.4332015483569399,0.14860690058081452,0.3159870306455718,0.3054455971754708,0.2374245004002849,0.2649047078513456,0.2937856836909335,0.9999999999999989,0.1844242963318847,0.38997283049506626,0.3007591919276827
doc_20.txt,0.058527763866084034,0.014226070781563915,0.01980732588953139,0.037855856929702815,0.003275403311379927,0.012773494297817092,0.045406525647574754,0.02921982940882966,0.045707950299328406,0.023197901627252833,0.039466297749277554,0.0,0.1344770031126626,0.025841090474068025,0.01116859646835257,0.1710385443754595,0.09857991359197243,0.14356453670813285,0.2535962382803417,0.2335453884169306,0.1968139865370822,0.19191671357366158,0.2621057162241439,0.20677673335714794,0.24808712760742638,0.24970708286246185,0.1844242963318847,1.0000000000000002,0.29450565070843904,0.18218232621940125
doc_21.txt,0.06615601477338968,0.022605771054705088,0.0152494493453625,0.021423196869948685,0.035835394626843084,0.006707692881372207,0.019988430759017576,0.0477766778136136,0.0494776685229854,0.020988846657788808,0.0031173537177191647,0.0,0.017302938450835935,0.16194332740859943,0.06458119884693339,0.4185105219512751,0.2346459323121639,0.24446158111580343,0.39389446241090803,0.41168475724275844,0.2019371372664462,0.2343432896160917,0.5109395232214642,0.4013372480567622,0.46352472568592723,0.4374251727588323,0.38997283049506626,0.29450565070843904,1.0000000000000004,0.3560302764103126
doc_22.txt,0.04156337585255685,0.01808839792128543,0.007727331617214374,0.0,0.03790494319910341,0.0,0.01680628075502728,0.035584416813863824,0.03926481993880582,0.007170704103093583,0.0031253859415159603,0.0,0.03604138441604679,0.12069004723234592,0.2717760561930168,0.3200272998514302,0.15610259380398017,0.15455940792728534,0.23831247942011463,0.2949055243566878,0.13263438128742566,0.16196116906015018,0.325619393033652,0.2536850753487532,0.2953359083783882,0.2660858111232391,0.3007591919276827,0.18218232621940125,0.3560302764103126,1.0
